date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:22:54	689427/689427	---M-Z	200	added ('OK')	text/html	etag:%22b50eaf3b6f5f14db5f1f8a70757488cc%22	https://krow.com.tr/kullanim-kosullari	D:/happencode/krow-mirror/krow.com.tr/kullanim-kosullari.html	(from https://krow.com.tr/)
09:22:54	441037/441037	---M-Z	404	error ('Not%20Found')	text/html	etag:%22bd2f85234a982da6e75f01ef2f84cc72%22	https://krow.com.tr/t	D:/happencode/krow-mirror/krow.com.tr/t.16.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
09:22:55	441037/441037	---M-Z	404	error ('Not%20Found')	text/html	etag:%22bd2f85234a982da6e75f01ef2f84cc72%22	https://krow.com.tr/e	D:/happencode/krow-mirror/krow.com.tr/e.17.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
09:22:55	441037/441037	---M-Z	404	error ('Not%20Found')	text/html	etag:%22bd2f85234a982da6e75f01ef2f84cc72%22	https://krow.com.tr/signals/config/	D:/happencode/krow-mirror/krow.com.tr/signals/config/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
09:22:55	441037/441037	---M-Z	404	error ('Not%20Found')	text/html	etag:%22bd2f85234a982da6e75f01ef2f84cc72%22	https://krow.com.tr/schema.org/	D:/happencode/krow-mirror/krow.com.tr/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
09:22:56	441037/441037	---M-Z	404	error ('Not%20Found')	text/html	etag:%22bd2f85234a982da6e75f01ef2f84cc72%22	https://krow.com.tr/signals/plugins/	D:/happencode/krow-mirror/krow.com.tr/signals/plugins/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
09:22:56	441037/441037	---M-Z	404	error ('Not%20Found')	text/html	etag:%22bd2f85234a982da6e75f01ef2f84cc72%22	https://krow.com.tr/t.resolvedLink	D:/happencode/krow-mirror/krow.com.tr/t.18.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
09:22:56	441037/441037	---M-Z	404	error ('Not%20Found')	text/html	etag:%22bd2f85234a982da6e75f01ef2f84cc72%22	https://krow.com.tr/o	D:/happencode/krow-mirror/krow.com.tr/o.19.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
09:22:57	441037/441037	---M-Z	404	error ('Not%20Found')	text/html	etag:%22bd2f85234a982da6e75f01ef2f84cc72%22	https://krow.com.tr/signals/iwl.js	D:/happencode/krow-mirror/krow.com.tr/signals/iwl.1a.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
09:22:57	441037/441037	---M-Z	404	error ('Not%20Found')	text/html	etag:%22bd2f85234a982da6e75f01ef2f84cc72%22	https://krow.com.tr/signals/iwl.js?pixel_id=	D:/happencode/krow-mirror/krow.com.tr/signals/iwl.1b0fc5.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
09:22:58	441037/441037	---M-Z	404	error ('Not%20Found')	text/html	etag:%22bd2f85234a982da6e75f01ef2f84cc72%22	https://krow.com.tr/r.dl	D:/happencode/krow-mirror/krow.com.tr/r.1c.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
09:22:58	441037/441037	---M-Z	404	error ('Not%20Found')	text/html	etag:%22bd2f85234a982da6e75f01ef2f84cc72%22	https://krow.com.tr/r.rl	D:/happencode/krow-mirror/krow.com.tr/r.1d.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
09:23:00	657598/657598	---M-Z	200	added ('OK')	text/html	etag:%220d70019197b394fbbf1a3a410662fef6%22	https://krow.com.tr/en/neden-krow	D:/happencode/krow-mirror/krow.com.tr/en/neden-krow.html	(from https://krow.com.tr/en/)
09:23:01	584084/584084	---M-Z	200	added ('OK')	text/html	etag:%221e28e0d88289f0d18003de1f869b1ca0%22	https://krow.com.tr/en/ozellikler	D:/happencode/krow-mirror/krow.com.tr/en/ozellikler.html	(from https://krow.com.tr/en/)
09:23:01	596267/596267	---M-Z	200	added ('OK')	text/html	etag:%221fe3d0551201036cf02ec9d810a4b41a%22	https://krow.com.tr/en/paketler/lgs/yillik	D:/happencode/krow-mirror/krow.com.tr/en/paketler/lgs/yillik.html	(from https://krow.com.tr/en/)
09:23:02	685438/685438	---M-Z	200	added ('OK')	text/html	etag:%22964290c05db41d745418524f075f04e0%22	https://krow.com.tr/en/sinavlar/lgs	D:/happencode/krow-mirror/krow.com.tr/en/sinavlar/lgs.html	(from https://krow.com.tr/en/)
09:23:02	856760/856760	---M-Z	200	added ('OK')	text/html	etag:%2298593ce04998c40dee25317eeea71285%22	https://krow.com.tr/en/sinavlar/yks	D:/happencode/krow-mirror/krow.com.tr/en/sinavlar/yks.html	(from https://krow.com.tr/en/)
09:23:04	901375/901375	---M-Z	200	added ('OK')	text/html	etag:%22851e8197a73e837209ff8fe9be4ff77d%22	https://krow.com.tr/en/sinavlar/kpss	D:/happencode/krow-mirror/krow.com.tr/en/sinavlar/kpss.html	(from https://krow.com.tr/en/)
